Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2014,8.0,80000,120000
Range Rover,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,2015,5.0,140000,260000
Optima,Hafar Al-Batin,Kia,Automatic,Saudi,Semi Full,2015,2.4,220000,42000
CX3,Abha,Mazda,Automatic,Saudi,Semi Full,2019,2.0,25000,58000
Cayenne S,Riyadh,Porsche,Automatic,Saudi,Full,2012,4.8,189000,85000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2016,2.4,155,48000
Avalon,Riyadh,Toyota,Automatic,Saudi,Standard,2016,3.5,110864,81500
C300,Makkah,Chrysler,Automatic,Saudi,Full,2013,5.7,200,55000
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2011,4.6,79000,145000
LS,Dammam,Lexus,Automatic,Saudi,Full,2008,4.6,299000,38000
FJ,Riyadh,Toyota,Automatic,Saudi,Semi Full,2020,4.0,17000,140000
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2019,4.6,71000,200000
Tucson,Jeddah,Hyundai,Automatic,Saudi,Standard,2018,2.0,85000,65000
Sunny,Riyadh,Nissan,Manual,Saudi,Standard,2011,1.4,290,7000
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Full,2018,3.5,74715,76000
Azera,Riyadh,Hyundai,Automatic,Saudi,Full,2013,3.0,284000,32000
Focus,Khobar,Ford,Automatic,Gulf Arabic,Standard,2014,1.6,98000,23000
5,Al-Baha,MG,Automatic,Saudi,Semi Full,2021,1.5,3400,42000
Spark,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2017,1.4,108,20000
Pathfinder,Al-Ahsa,Nissan,Automatic,Saudi,Semi Full,2002,3.3,550000,10000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,1.4,204000,23000
ML,Jeddah,Mercedes,Automatic,Saudi,Semi Full,2010,3.5,139240,45000
Corolla,Jazan,Toyota,Automatic,Saudi,Semi Full,2013,1.6,296,30000
Tahoe,Riyadh,Chevrolet,Automatic,Other,Semi Full,2017,6.2,105920,149000
A,Riyadh,Mercedes,Automatic,Other,Standard,2021,2.0,10000,179000
Altima,Aseer,Nissan,Automatic,Saudi,Full,2011,2.5,18500,22000
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Full,2010,5.3,292000,55000
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2013,5.4,270000,49500
Senta fe,Riyadh,Hyundai,Automatic,Gulf Arabic,Full,2015,3.3,350000,52000
Liberty,Al-Medina,Jeep,Automatic,Saudi,Semi Full,2012,3.7,247000,25000
X,Jeddah,BMW,Automatic,Saudi,Full,2015,2.0,92000,72000
Land Cruiser Pickup,Riyadh,Toyota,Manual,Saudi,Standard,2018,4.0,98000,105000
VTC,Riyadh,Nissan,Manual,Saudi,Semi Full,2016,4.8,307801,99000
Malibu,Abha,Chevrolet,Automatic,Saudi,Standard,2020,1.5,62000,57000
The 5,Jeddah,BMW,Automatic,Saudi,Standard,2019,2.5,38000,140000
Patrol,Riyadh,Nissan,Automatic,Saudi,Full,2010,4.0,208000,72000
Sonata,Makkah,Hyundai,Automatic,Saudi,Full,2020,2.5,11000,110000
Grand Cherokee,Al-Namas,Jeep,Automatic,Saudi,Semi Full,2014,3.6,245000,55000
Camry,Taef,Toyota,Automatic,Saudi,Semi Full,2001,9.0,150000,15000
SL,Jeddah,Mercedes,Automatic,Saudi,Full,2017,4.7,81000,265000
Previa,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2015,2.4,156000,56500
SEL,Tabouk,Mercedes,Automatic,Saudi,Full,1986,3.0,500000,5500
FJ,Jeddah,Toyota,Automatic,Saudi,Full,2015,4.0,228000,90000
MKZ,Riyadh,Lincoln,Automatic,Saudi,Semi Full,2013,3.7,98100,71500
Datsun,Dammam,Nissan,Manual,Saudi,Semi Full,2015,2.0,182000,29000
Hilux,Dammam,Toyota,Manual,Saudi,Semi Full,2016,2.7,210800,62000
Yukon,Riyadh,GMC,Automatic,Gulf Arabic,Standard,2016,5.3,88000,141000
Land Cruiser,Qassim,Toyota,Automatic,Saudi,Full,2019,4.5,82808,230000
GLC,Dammam,Mercedes,Automatic,Gulf Arabic,Full,2020,2.0,4000,225000
Edge,Jeddah,Ford,Automatic,Saudi,Full,2011,3.5,70000,60000
6,Jeddah,Mazda,Automatic,Saudi,Standard,2021,2.5,115,93000
Innova,Jeddah,Toyota,Automatic,Saudi,Standard,2018,2.7,91440,68000
Navara,Riyadh,Nissan,Manual,Saudi,Semi Full,2015,2.0,45000,50000
Senta fe,Riyadh,Hyundai,Automatic,Other,Semi Full,2016,3.3,50100,69000
G80,Riyadh,Genesis,Automatic,Saudi,Semi Full,2019,3.8,35449,121500
Carnival,Jeddah,Kia,Automatic,Saudi,Semi Full,2016,3.3,180,38000
Suburban,Al-Medina,Chevrolet,Automatic,Other,Full,1999,5.3,70000,20000
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.6,66200,51000
Camaro,Dammam,Chevrolet,Automatic,Other,Full,2018,3.6,89000,109000
Accord,Riyadh,Honda,Automatic,Saudi,Semi Full,2014,4.0,349000,48000
Malibu,Dammam,Chevrolet,Automatic,Saudi,Full,2016,3.6,105000,47000
C300,Riyadh,Chrysler,Automatic,Saudi,Full,2017,5.7,130000,88000
Sunny,Riyadh,Nissan,Automatic,Saudi,Semi Full,2011,1.6,212000,15000
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2014,1.5,139740,20000
Azera,Riyadh,Hyundai,Automatic,Other,Semi Full,2017,3.5,256,47000
Tahoe,Riyadh,Chevrolet,Automatic,Gulf Arabic,Full,2017,5.3,73000,142000
Datsun,Qassim,Nissan,Manual,Saudi,Standard,2016,2.4,866,53000
Innova,Qassim,Toyota,Automatic,Saudi,Semi Full,2015,2.7,216,39000
Taurus,Makkah,Ford,Automatic,Saudi,Semi Full,2016,2.0,148000,58000
Avalon,Jeddah,Toyota,Automatic,Saudi,Semi Full,2014,3.5,188257,78500
Camry,Qassim,Toyota,Automatic,Gulf Arabic,Standard,2016,2.5,117000,60000
Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,211257,60000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,2.0,135000,35000
Flex,Riyadh,Ford,Automatic,Saudi,Standard,2015,3.6,290000,30000
S,Al-Medina,Mercedes,Automatic,Saudi,Full,2007,3.0,270000,45000
Cerato,Jeddah,Kia,Automatic,Saudi,Standard,2019,1.6,43632,45500
Furniture,Taef,Toyota,Manual,Saudi,Standard,2009,2.7,530500,33000
Tahoe,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2017,5.3,153000,125000
Murano,Riyadh,Nissan,Automatic,Saudi,Standard,2008,1.0,300,9500
S,Al-Ahsa,Mercedes,Automatic,Other,Semi Full,2010,5.5,228000,63000
Senta fe,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,126000,63000
Land Cruiser 70,Makkah,Toyota,Manual,Saudi,Full,2015,2.6,180000,80000
Expedition,Jazan,Ford,Automatic,Saudi,Semi Full,2014,5.4,108000,60000
Altima,Riyadh,Nissan,Automatic,Saudi,Standard,2017,2.5,122000,44000
3,Al-Medina,Mazda,Automatic,Saudi,Standard,2018,1.8,53000,54000
Altima,Jeddah,Nissan,Automatic,Saudi,Standard,2017,2.5,181000,37000
Pick up,Sabya,Zhengzhou,Manual,Saudi,Semi Full,2020,2.4,13800,35000
Charger,Riyadh,Dodge,Automatic,Saudi,Standard,2018,3.6,79000,79000
H6,Riyadh,HAVAL,Automatic,Saudi,Full,2020,1.5,9000,70000
Hilux,Al-Jouf,Toyota,Manual,Saudi,Full,2017,2.7,168000,81000
Corolla,Al-Ahsa,Toyota,Automatic,Saudi,Full,2016,1.6,86500,48000
Hiace,Riyadh,Toyota,Manual,Saudi,Standard,2017,2.7,192692,68500
Taurus,Dammam,Ford,Automatic,Saudi,Standard,2019,2.0,48000,80000
Sunny,Jeddah,Nissan,Automatic,Saudi,Standard,2019,1.5,38920,33500
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2017,1.4,32000,33000
Fusion,Jazan,Ford,Automatic,Saudi,Standard,2012,2.5,219000,14500
Aveo,Qassim,Chevrolet,Manual,Other,Standard,2011,1.2,102000,11000
Sonata,Jeddah,Hyundai,Automatic,Saudi,Full,2020,2.5,3000,118000
Corolla,Qassim,Toyota,Automatic,Saudi,Standard,2013,1.6,334000,36500
Cerato,Riyadh,Kia,Automatic,Saudi,Standard,2016,1.6,34000,32000
CX9,Al-Ahsa,Mazda,Automatic,Saudi,Full,2016,2.5,229000,63000
Expedition,Dammam,Ford,Automatic,Saudi,Semi Full,2014,5.4,151000,65000
Flex,Dammam,Ford,Automatic,Saudi,Standard,2014,3.5,201000,57000
Optima,Riyadh,Kia,Automatic,Saudi,Full,2017,2.4,130,48000
Azera,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,3.0,147000,75000
Camry,Riyadh,Toyota,Automatic,Saudi,Standard,2017,2.5,101732,61500
Camry,Jeddah,Toyota,Automatic,Gulf Arabic,Semi Full,2010,2.5,145,25000
Yaris,Dammam,Toyota,Automatic,Saudi,Semi Full,2016,1.5,9800,32000
Sierra,Riyadh,GMC,Automatic,Saudi,Standard,2011,5.3,231000,45000
Durango,Yanbu,Dodge,Automatic,Saudi,Semi Full,2013,5.7,487100,35000
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.6,92412,44500
Pick up,Al-Baha,Zhengzhou,Manual,Saudi,Full,2016,2.4,128,35000
Pajero,Qassim,Mitsubishi,Automatic,Other,Full,2014,3.5,200000,39000
Charger,Al-Ahsa,Dodge,Automatic,Saudi,Semi Full,2018,3.6,124000,99000
Suburban,Riyadh,GMC,Automatic,Saudi,Semi Full,1995,5.3,215000,13000
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2018,1.5,79968,29000
CT-S,Riyadh,Cadillac,Automatic,Saudi,Full,2010,3.6,240000,32000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.4,63000,60000
Carnival,Riyadh,Kia,Automatic,Saudi,Standard,2015,2.4,132000,37000
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2015,5.3,71000,125000
Sylvian Bus,Riyadh,Nissan,Manual,Saudi,Full,2018,3.0,3000,107000
ES,Jeddah,Lexus,Automatic,Other,Full,2016,3.5,103000,102000
Navigator,Khobar,Lincoln,Automatic,Saudi,Full,2013,5.7,27700,50000
Sierra,Riyadh,GMC,Automatic,Saudi,Standard,2016,5.3,205544,99500
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,180000,58000
ES,Riyadh,Lexus,Automatic,Gulf Arabic,Semi Full,2018,3.5,28000,122000
ES,Makkah,Lexus,Automatic,Saudi,Semi Full,2013,2.5,239,65000
Opirus,Riyadh,Kia,Automatic,Other,Semi Full,2006,3.5,25500,14000
Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,2014,1.4,201000,23000
Senta fe,Riyadh,Hyundai,Automatic,Saudi,Full,2009,2.7,260000,21000
Taurus,Dammam,Ford,Automatic,Other,Semi Full,2018,3.5,107000,77000
Patrol,Riyadh,Nissan,Automatic,Saudi,Standard,2016,4.8,4700,88000
Taurus,Jeddah,Ford,Automatic,Saudi,Semi Full,2015,2.5,172000,52000
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2015,3.5,110790,77000
The 7,Al-Medina,BMW,Automatic,Saudi,Full,2014,2.0,116000,100000
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2016,2.5,63000,58000
Creta,Riyadh,Hyundai,Automatic,Saudi,Standard,2020,1.6,16576,59500
CX9,Dammam,Mazda,Automatic,Other,Full,2016,2.5,104000,105000
Expedition,Riyadh,Ford,Automatic,Gulf Arabic,Semi Full,2014,5.4,132000,45000
Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.4,125000,30000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2019,2.0,41912,59500
Camry,Makkah,Toyota,Automatic,Saudi,Full,2020,2.4,2000,119000
Azera,Jeddah,Hyundai,Automatic,Saudi,Full,2016,3.5,146000,56500
CS35,Riyadh,Changan,Automatic,Saudi,Full,2021,1.6,5000,44000
Optima,Riyadh,Kia,Automatic,Saudi,Semi Full,2015,2.0,191,38500
Edge,Riyadh,Ford,Automatic,Saudi,Standard,2013,3.6,240000,35000
LS,Dammam,Lexus,Automatic,Saudi,Full,2015,4.6,132000,165000
Tahoe,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2012,5.3,300000,48000
Hilux,Najran,Toyota,Manual,Saudi,Full,2018,2.7,122000,65000
The 3,Riyadh,BMW,Automatic,Saudi,Semi Full,2013,2.0,156000,45000
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2014,5.4,143000,60000
GLE,Riyadh,Mercedes,Automatic,Other,Full,2020,6.9,24000,330000
Elantra,Riyadh,Hyundai,Automatic,Other,Standard,2015,2.0,300,25000
Sonata,Jeddah,Hyundai,Automatic,Saudi,Standard,2020,2.4,100,72910
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2010,4.6,344000,88000
Sedona,Jeddah,Kia,Automatic,Other,Semi Full,2016,3.2,118000,65000
Victoria,Khobar,Ford,Automatic,Saudi,Standard,2011,4.6,176000,50000
Prestige,Riyadh,Genesis,Automatic,Saudi,Semi Full,2016,3.5,293000,77000
Corolla,Riyadh,Toyota,Automatic,Saudi,Full,2003,1.0,50000,15000
CX9,Riyadh,Mazda,Automatic,Saudi,Full,2014,3.7,388000,37000
Tahoe,Aseer,Chevrolet,Automatic,Other,Semi Full,2008,5.3,300000,35000
CLA,Riyadh,Mercedes,Automatic,Other,Full,2020,2.0,15000,410000
Grand Cherokee,Dammam,Jeep,Automatic,Saudi,Full,2013,5.7,77000,77000
Accent,Jeddah,Hyundai,Automatic,Saudi,Standard,2018,1.4,127000,33000
Vanquish,Dammam,Aston Martin,Automatic,Saudi,Full,2013,6.0,32000,400000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,81967,35500
Land Cruiser,Hail,Toyota,Manual,Gulf Arabic,Full,2013,1.0,378000,75000
ES,Dammam,Lexus,Automatic,Saudi,Full,2013,1.6,263000,66000
Hilux,Dammam,Toyota,Manual,Saudi,Full,2016,2.7,174172,65000
Hilux,Jazan,Toyota,Manual,Saudi,Semi Full,2017,2.7,106737,75000
Safrane,Jeddah,Renault,Automatic,Saudi,Full,2012,2.6,144000,20000
Cores,Makkah,Kia,Manual,Saudi,Standard,2005,4.0,400,10000
Cadenza,Dammam,Kia,Automatic,Gulf Arabic,Semi Full,2018,3.3,81000,70000
D'max,Jeddah,Suzuki,Manual,Other,Full,2001,1.0,1000,7000
Silverado,Dammam,Chevrolet,Automatic,Saudi,Standard,2018,5.3,127000,85000
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2017,3.5,128439,76500
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,2.4,69000,55000
Malibu,Aseer,Chevrolet,Automatic,Saudi,Semi Full,2015,2.5,190217,27000
Land Cruiser Pickup,Tabouk,Toyota,Manual,Saudi,Semi Full,2015,4.0,96000,95000
Charger,Riyadh,Dodge,Automatic,Unknown,Full,2020,3.6,9120,115000
Rio,Jeddah,Kia,Automatic,Other,Standard,2017,1.4,147000,26000
Maxima,Dammam,Nissan,Automatic,Other,Semi Full,2011,3.5,34000,20000
X-Trail,Riyadh,Nissan,Automatic,Saudi,Standard,2018,2.5,30507,69500
Cruze,Taef,Chevrolet,Automatic,Saudi,Standard,2013,1.8,175,15000
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2019,2.0,54000,80000
Taurus,Dammam,Ford,Automatic,Saudi,Semi Full,2012,3.5,327000,35000
Sunny,Dammam,Nissan,Automatic,Saudi,Standard,2018,1.5,94000,28500
S,Al-Jouf,Mercedes,Automatic,Other,Full,1993,3.0,138,22000
ES,Dammam,Lexus,Automatic,Other,Full,2019,3.5,40000,185000
Elantra,Taef,Hyundai,Manual,Saudi,Standard,2007,1.6,191700,13000
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Semi Full,2005,4.0,446,50000
C,Riyadh,Mercedes,Automatic,Other,Full,2017,3.0,210000,210000
Tahoe,Aseer,Chevrolet,Automatic,Saudi,Semi Full,2011,5.3,275000,40000
S,Riyadh,Mercedes,Automatic,Other,Full,2017,3.0,26000,245000
FJ,Jeddah,Toyota,Automatic,Saudi,Standard,2016,4.0,130,100000
Seven,Riyadh,Changan,Automatic,Saudi,Standard,2020,1.5,55531,27500
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2016,3.5,70263,89000
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2018,1.4,105500,32000
Malibu,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2017,2.5,175000,49000
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2016,4.6,42000,138000
Prado,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2017,4.0,67357,126000
Land Cruiser Pickup,Aseer,Toyota,Manual,Saudi,Standard,1983,1.5,2580,15000
Range Rover,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,2016,5.0,58000,250000
C300,Riyadh,Chrysler,Automatic,Saudi,Full,2013,5.7,340000,40000
6,Riyadh,Mazda,Automatic,Gulf Arabic,Standard,2015,2.0,82914,53000
Focus,Riyadh,Ford,Automatic,Saudi,Standard,2012,1.6,181,15000
