Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Corolla,Abha,Toyota,Manual,Saudi,Standard,2013,1.4,421000,0
FJ,Riyadh,Toyota,Automatic,Saudi,Full,2020,4.0,49000,0
LS,Aseer,Lexus,Automatic,Saudi,Full,1998,4.6,300,0
Hilux,Yanbu,Toyota,Automatic,Saudi,Full,2014,2.7,209,0
Land Cruiser,Aseer,Toyota,Manual,Gulf Arabic,Semi Full,1982,4.6,340000,0
Land Cruiser,Al-Baha,Toyota,Manual,Saudi,Semi Full,1985,2.0,30000,0
Caprice,Riyadh,Chevrolet,Automatic,Other,Standard,1983,1.0,500000,0
Land Cruiser,Hail,Toyota,Automatic,Gulf Arabic,Full,2013,4.6,250,0
Camry,Riyadh,Toyota,Automatic,Saudi,Semi Full,2014,1.5,350000,0
Yaris,Hafar Al-Batin,Toyota,Automatic,Saudi,Semi Full,2017,1.5,80000,0
Suburban,Jeddah,Chevrolet,Automatic,Other,Semi Full,2016,3.5,187000,0
Traverse,Riyadh,Chevrolet,Automatic,Saudi,Standard,2012,3.6,280000,0
Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,2008,1.7,345500,0
C300,Hafar Al-Batin,Chrysler,Automatic,Saudi,Full,2016,3.6,110000,0
3,Dammam,Mazda,Automatic,Saudi,Standard,2019,1.6,55800,0
Elantra,Riyadh,Hyundai,Manual,Saudi,Semi Full,2011,1.6,600000,0
Tucson,Al-Medina,Hyundai,Automatic,Saudi,Full,2017,2.4,89000,0
A8,Riyadh,Audi,Automatic,Saudi,Semi Full,2015,3.0,137000,0
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Standard,2009,5.7,422000,0
Camry,Tabouk,Toyota,Manual,Other,Semi Full,2004,2.5,500,0
Land Cruiser Pickup,Qassim,Nissan,Manual,Unknown,Full,2016,4.8,42000,0
Aveo,Riyadh,Chevrolet,Manual,Saudi,Standard,2011,1.6,266000,0
Victoria,Qassim,Ford,Automatic,Saudi,Full,2011,4.6,280000,0
Flex,Riyadh,Ford,Automatic,Saudi,Semi Full,2014,3.5,214000,0
ES,Riyadh,Lexus,Automatic,Saudi,Semi Full,2009,3.5,417970,0
Escalade,Riyadh,Cadillac,Automatic,Saudi,Full,2011,6.2,270373,0
Senta fe,Qassim,Hyundai,Automatic,Other,Full,2015,2.0,96000,0
H1,Riyadh,Hyundai,Manual,Other,Full,2007,2.4,81000,0
Symbol,Riyadh,Renault,Automatic,Saudi,Full,2020,1.6,100,0
Avanza,Dammam,Toyota,Automatic,Gulf Arabic,Standard,2016,1.6,168000,0
Land Cruiser 70,Tabouk,Toyota,Manual,Saudi,Semi Full,2012,4.0,280,0
LS,Taef,Lexus,Automatic,Other,Semi Full,2005,4.6,240000,0
Accent,Riyadh,Hyundai,Automatic,Saudi,Full,2016,1.5,183000,0
C5700,Hafar Al-Batin,GMC,Manual,Saudi,Standard,1977,1.5,4358765,0
Grand Cherokee,Riyadh,Jeep,Automatic,Saudi,Full,2015,5.4,160000,0
Impala,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2018,3.6,65000,0
SEL,Riyadh,Mercedes,Automatic,Other,Full,1991,5.5,160000,0
Other,Jubail,Suzuki,Automatic,Saudi,Standard,2017,1.6,100,0
Yukon,Al-Ahsa,GMC,Automatic,Other,Full,2003,1.6,300000,0
Explorer,Riyadh,Ford,Automatic,Saudi,Semi Full,2010,3.5,440000,0
LX,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2007,4.7,269000,0
Land Cruiser,Riyadh,Toyota,Automatic,Unknown,Full,2014,4.6,191000,0
BT-50,Al-Medina,Mazda,Manual,Saudi,Standard,2014,2.5,38000,0
Yukon,Khobar,GMC,Automatic,Gulf Arabic,Full,2008,8.0,350000,0
Land Cruiser 70,Tabouk,Toyota,Manual,Saudi,Standard,2012,4.0,189,0
Suburban,Aseer,GMC,Automatic,Other,Full,2011,5.3,174000,0
Corolla,Al-Medina,Toyota,Automatic,Saudi,Standard,2018,1.6,93000,0
Ranger,Al-Medina,Ford,Manual,Saudi,Standard,2010,2.6,300000,0
Senta fe,Dammam,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,228,0
Rav4,Jeddah,Toyota,Automatic,Saudi,Full,2016,1.4,38000,0
C300,Riyadh,Chrysler,Automatic,Other,Full,2017,5.7,62000,0
Hilux,Abha,Toyota,Manual,Saudi,Standard,1998,4.0,250000,0
Land Cruiser,Aseer,Toyota,Automatic,Gulf Arabic,Semi Full,2014,4.6,189821,0
Ciocca,Riyadh,Toyota,Automatic,Saudi,Full,2009,5.7,210000,0
Charger,Al-Medina,Dodge,Automatic,Other,Full,2020,3.6,27000,0
Patrol,Tabouk,Nissan,Manual,Saudi,Full,1999,4.5,300,0
Land Cruiser Pickup,Dammam,Toyota,Manual,Gulf Arabic,Full,2014,4.0,182000,0
Kona,Riyadh,Hyundai,Automatic,Saudi,Full,2020,2.0,32000,0
Sentra,Riyadh,Nissan,Automatic,Saudi,Standard,2014,1.6,19000,0
Senta fe,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2020,2.4,21000,0
Hilux,Riyadh,Toyota,Automatic,Saudi,Full,2020,4.0,700,0
Accent,Jeddah,Hyundai,Automatic,Saudi,Standard,2017,1.6,74000,0
Land Cruiser Pickup,Jubail,Toyota,Manual,Gulf Arabic,Semi Full,2016,4.6,169000,0
Suburban,Riyadh,GMC,Automatic,Other,Full,1998,5.3,395000,0
Senta fe,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2021,3.3,2200,0
Yaris,Yanbu,Toyota,Automatic,Other,Standard,2017,1.5,208000,0
Kona,Riyadh,Hyundai,Automatic,Saudi,Standard,2020,2.0,10000,0
Marquis,Riyadh,Ford,Automatic,Saudi,Full,1997,4.6,40000,0
Hilux,Dammam,Toyota,Manual,Saudi,Standard,2009,2.7,357172,0
FX,Dammam,INFINITI,Automatic,Saudi,Full,2013,5.7,60000,0
Azera,Jubail,Hyundai,Automatic,Saudi,Semi Full,2012,6.0,330,0
D-MAX,Abha,Isuzu,Automatic,Saudi,Full,2020,3.0,19000,0
Sierra,Al-Ahsa,GMC,Automatic,Saudi,Semi Full,2016,5.3,99000,0
Camry,Jeddah,Toyota,Automatic,Saudi,Full,2020,3.5,35000,0
Suburban,Riyadh,Chevrolet,Automatic,Other,Full,1999,3.5,290000,0
Expedition,Jazan,Ford,Automatic,Saudi,Semi Full,2013,5.4,200700,0
Sunny,Riyadh,Nissan,Automatic,Other,Standard,2013,1.5,175097,0
Dyna,Riyadh,Isuzu,Manual,Saudi,Standard,2021,3.0,100000,0
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2014,2.7,298000,0
Furniture,Makkah,Toyota,Automatic,Saudi,Standard,2015,4.5,10040,0
Hiace,Aseer,Toyota,Manual,Saudi,Standard,2011,2.7,200,0
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2012,4.5,327000,0
Lumina,Al-Ahsa,Chevrolet,Automatic,Saudi,Standard,2008,3.0,295000,0
Sonata,Jazan,Hyundai,Automatic,Saudi,Full,2017,2.4,267,0
CX9,Abha,Mazda,Automatic,Unknown,Full,2012,2.5,377836,0
Sorento,Jubail,Kia,Automatic,Unknown,Semi Full,2015,3.3,133981,0
Suburban,Abha,GMC,Automatic,Other,Standard,1993,5.9,442050,0
Hilux,Riyadh,Toyota,Manual,Saudi,Standard,2015,2.7,280,0
Avalon,Jeddah,Toyota,Automatic,Saudi,Full,2006,3.5,400,0
Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2016,2.4,88100,0
Cruze,Jeddah,Chevrolet,Automatic,Saudi,Semi Full,2011,1.8,10000,0
Prado,Riyadh,Toyota,Automatic,Saudi,Full,2016,4.0,191000,0
Marquis,Qassim,Ford,Automatic,Saudi,Semi Full,2010,4.6,286,0
SL,Riyadh,Mercedes,Automatic,Other,Full,1995,3.5,119,0
Hilux,Jeddah,Toyota,Manual,Saudi,Standard,2010,2.7,200000,0
Camry,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2017,1.4,107,0
Land Cruiser Pickup,Jeddah,Nissan,Automatic,Gulf Arabic,Full,2014,4.8,217000,0
RX,Riyadh,Lexus,Automatic,Saudi,Full,2019,3.5,47000,0
Datsun,Al-Baha,Nissan,Manual,Other,Full,2015,2.4,115000,0
Cressida,Abha,Toyota,Manual,Saudi,Standard,1996,2.4,300000,0
